Africa	Afro-
Arabia	Arabo-
Balkans	Balkano-
Bavaria	Bavaro-
Baltic	Balto-
Celtic	Celto-, Cymro-
Christians	Christo-
Dacian	Daco-
England	Anglo-
Europe	Euro-
European Union	Euro-
Hurrian	Hurro-
Iberia	Ibero-
Islam	Islamo-
Istria	Istro-
Jews	Judaeo-, Judæo- Judeo-
Karelia	Karelo-
Kurds	Kurdo-
Latins or (coll.) Latin Americans	Latino-
Malays	Malayo-
Media	Medo-
Normans	Normanno-
Oscans	Osco-
Persia	Perso-
Prussia	Prusso-
Rhaetians	Rhaeto-, Rhæto-
Romans	Romano-
Saxons or Saxony	Saxo-
Scandinavia	Scando-
Scotland	Scoto-
Scythia	Scytho-
Slavs	Slavo-
Sparta	Lacono-
Tagalog	Tagalo-
Tatarstan	Tataro-
Tibet	Tibeto-
Tuscany	Tosco-
Umbria	Umbro-
Ural	Uralo-
Wales	Cambro-, Cymro-
